Variable,1.000000 km,3.000000 km,5.000000 km,total,Beyond
"PCT025005 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Male:  18 to 24 years:  9th to 12th grade, no diploma",9635,144971,243158,3340201,2942437
PCT025004 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Male:  18 to 24 years:  Less than 9th grade,2933,44404,68841,685140,568962
"PCT025007 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Male:  18 to 24 years:  Some college, no degree",24897,191831,319141,4397787,3861918
PCT025006 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Male:  18 to 24 years:  High school graduate (includes equivalency),11900,172779,275425,4240644,3780540
PCT025081 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Female:  65 years and over:  Associate degree,612,14609,29913,523609,478475
PCT025049 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Female:  18 to 24 years:  Associate degree,1863,24682,42512,632651,563594
PCT025055 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Female:  25 to 34 years:  High school graduate (includes equivalency),11880,184401,308519,4816169,4311369
PCT025071 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Female:  45 to 64 years:  High school graduate (includes equivalency),16565,285573,506874,9887861,9078849
"PCT025064 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Female:  35 to 44 years:  Some college, no degree",9375,171915,313453,5527294,5032551
PCT025045 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Female:  18 to 24 years:  Less than 9th grade,1965,28295,43761,429442,355421
PCT025051 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Female:  18 to 24 years:  Graduate or professional degree,421,4569,8385,89726,76351
PCT025044 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Female:  18 to 24 years:,54562,587211,1010975,13451602,11798854
PCT025032 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Male:  45 to 64 years:  Associate degree,2878,53263,97941,1845963,1691881
"PCT025080 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Female:  65 years and over:  Some college, no degree",3750,87804,172603,3191131,2926974
"PCT025048 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Female:  18 to 24 years:  Some college, no degree",26212,212132,370816,5019316,4410156
PCT025033 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Male:  45 to 64 years:  Bachelor's degree,5314,127463,261693,4914441,4519971
"PCT025078 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Female:  65 years and over:  9th to 12th grade, no diploma",8104,144272,233053,3842420,3456991
PCT025079 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Female:  65 years and over:  High school graduate (includes equivalency),10788,224994,391714,7254750,6627254
PCT025060 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Female:  35 to 44 years:,47247,791867,1421627,23387295,21126554
PCT025052 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Female:  25 to 34 years:,54200,822444,1447241,19947680,17623795
PCT025076 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Female:  65 years and over:,34778,681780,1197837,20835480,18921085
PCT025077 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Female:  65 years and over:  Less than 9th grade,9153,142260,230105,3566249,3184731
"PCT025070 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Female:  45 to 64 years:  9th to 12th grade, no diploma",9735,133978,226672,3457218,3086833
"PCT025056 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Female:  25 to 34 years:  Some college, no degree",10880,174642,307115,4758661,4266024
"PCT025072 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Female:  45 to 64 years:  Some college, no degree",9965,197927,380434,7088159,6499833
PCT025053 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Female:  25 to 34 years:  Less than 9th grade,4451,62497,95285,821770,659537
PCT025030 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Male:  45 to 64 years:  High school graduate (includes equivalency),13639,232830,402950,8008418,7358999
"PCT025031 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Male:  45 to 64 years:  Some college, no degree",9109,180104,338486,6382421,5854722
PCT025018 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Male:  25 to 34 years:  Graduate or professional degree,5157,67028,129808,1359866,1157873
PCT025019 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Male:  35 to 44 years:,49839,806255,1427968,23042576,20758514
PCT025034 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Male:  45 to 64 years:  Graduate or professional degree,4035,98816,220480,3925491,3602160
PCT025035 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Male:  65 years and over:,22997,436489,784554,14567854,13323814
PCT025036 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Male:  65 years and over:  Less than 9th grade,5632,89345,143631,2539127,2300519
"PCT025037 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Male:  65 years and over:  9th to 12th grade, no diploma",5642,87703,141971,2421240,2185924
PCT025012 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Male:  25 to 34 years:  Less than 9th grade,5584,79907,120968,1106030,899571
"PCT025013 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Male:  25 to 34 years:  9th to 12th grade, no diploma",9243,131542,214198,2558457,2203474
PCT025010 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Male:  18 to 24 years:  Graduate or professional degree,334,3421,6635,62645,52255
PCT025011 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Male:  25 to 34 years:,56261,868352,1490207,20158536,17743716
PCT025016 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Male:  25 to 34 years:  Associate degree,2787,47475,83815,1324930,1190853
PCT025017 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Male:  25 to 34 years:  Bachelor's degree,10719,164533,297374,3810155,3337529
PCT025014 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Male:  25 to 34 years:  High school graduate (includes equivalency),12457,209089,345687,5531395,4964162
"PCT025015 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Male:  25 to 34 years:  Some college, no degree",10314,168778,298357,4467703,3990254
PCT025027 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Male:  45 to 64 years:,52690,924132,1688577,30367674,27702275
PCT025082 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Female:  65 years and over:  Bachelor's degree,1364,40327,82831,1527252,1402730
PCT025073 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Female:  45 to 64 years:  Associate degree,3113,58559,114478,2155148,1978998
"PCT025039 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Male:  65 years and over:  Some college, no degree",2473,61783,117576,2308455,2126623
PCT025083 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Female:  65 years and over:  Graduate or professional degree,1007,27514,57618,930069,843930
PCT025057 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Female:  25 to 34 years:  Associate degree,3544,57201,101852,1692981,1530384
PCT025025 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Male:  35 to 44 years:  Bachelor's degree,5898,114329,225564,3794727,3448936
PCT025043 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Female:,248445,3881388,6925200,109814927,98759894
