tract ID,within 3km,land area,population,population density,percent people of color,mean household income,percent below poverty,mean owner-occupied housing value,percent with a degree
44003021700,0,2581738.0,5055,0.0019579833430038215,0.08644906033630069,56950.885179565,0.23266932270916335,0.0,0.25655644241733183
44003021800,0,3410905.0,4281,0.0012550921236446045,0.0612006540527914,67862.83744974152,0.053024994160242936,0.0,0.3438495857233907
44003021901,1,2366198.0,3894,0.0016456780032778322,0.11890087313816128,63577.52602571953,0.02678341488539789,204529.77487291212,0.3008635578583765
44003021902,0,2154878.0,2522,0.0011703678816155718,0.07652656621728787,57828.17028985507,0.07850911974623315,226627.21893491125,0.292722371967655
44003021903,0,3847261.0,3806,0.0009892752272330886,0.039936941671045716,71671.26795752655,0.08512874408828167,289383.9798850575,0.4203461674320028
44003022000,0,3227495.0,3351,0.0010382665193904251,0.061175768427335124,66528.7898089172,0.11459265890778872,252568.02721088435,0.34331259720062207
44003022100,1,7870014.0,5590,0.0007102909855052354,0.03041144901610018,73084.61206896552,0.021264476931839756,0.0,0.368952559887271
44003022201,0,9121152.0,6990,0.0007663505662442639,0.11859799713876967,103274.12280701754,0.036337625178826896,405356.79493424256,0.6305180407175972
44003022202,0,7897964.0,4040,0.0005115242358663574,0.049752475247524755,58257.010213556176,0.09711012757094506,341942.7710843373,0.4422560429722471
44003022300,0,6256521.0,4000,0.0006393329455779018,0.155,54243.151693667154,0.1355,248483.2134292566,0.3294816771211621
44003022400,0,6684321.0,2056,0.000307585467544123,0.030155642023346304,85297.40596627755,0.017023346303501944,333490.0284900285,0.3953333333333333
44003980000,1,3775824.0,0,0.0,,,,,
44005040101,0,5996241.0,5082,0.0008475309781578159,0.030696576151121605,79484.42164179105,0.051554506099960644,0.0,0.4585352719439957
44005040102,0,15303726.0,5742,0.000375202744743339,0.04040404040404041,127428.21953327571,0.04946011842563567,523792.68292682926,0.6452312138728323
44005040103,0,38220332.0,6492,0.0001698572372422092,0.11290819470117067,94978.78900445765,0.03179503009723723,445455.7569296375,0.5157707685473123
44005040200,0,2334461.0,1646,0.0007050878125614436,0.40340218712029163,66483.22475570033,0.19501822600243013,,0.46358267716535434
44005040302,0,2053822.0,2550,0.0012415876351504658,0.24235294117647058,65606.08773500448,0.027788805081381502,344224.7510668563,0.36516575952498764
44005040303,0,3883358.0,3082,0.0007936430275035163,0.2874756651524984,86416.47875108413,0.02693056456846204,0.0,0.3943089430894309
44005040304,0,5597844.0,2992,0.0005344914935107159,0.14171122994652408,71695.09966777409,0.09855174849876369,0.0,0.35614973262032085
44005040400,0,19065896.0,6092,0.0003195234045124341,0.08256730137885752,98550.25824394119,0.0753109558698245,528797.2462203024,0.5478876354788763
44005040500,0,2405882.0,4807,0.0019980198530102473,0.3151653838152694,52887.17089516515,0.21884751404202205,326545.6989247312,0.3619146005509642
44005040600,0,1046877.0,4614,0.004407394564977548,0.24143909839618552,71544.15341440598,0.09666233203294322,0.0,0.47439274217149546
44005040700,0,1609148.0,3229,0.0020066519673765247,0.047383090740167236,73861.71875,0.06658408175905853,528890.9978308026,0.5592680986475735
44005040800,0,1680968.0,2700,0.0016062173699915763,0.10814814814814815,77366.76994577846,0.07483818770226537,614559.5432300164,0.5841775205016884
44005040900,0,10155468.0,5019,0.0004942165146894264,0.08906156604901375,103944.55764075067,0.03619570644033949,589850.9174311927,0.5576683291770573
44005041000,0,711463.0,1653,0.002323381539166478,0.06352087114337568,80547.66949152542,0.07441016333938294,0.0,0.6188679245283019
44005041100,0,840047.0,1360,0.0016189570345468765,0.05588235294117647,95062.55868544601,0.045588235294117645,0.0,0.666392769104355
44005041200,0,1424716.0,1575,0.0011054834788126195,0.22158730158730158,58483.620689655174,0.1744186046511628,,0.7198581560283688
44005041300,0,24469397.0,5436,0.00022215504534092115,0.10191317144959529,107319.72084646556,0.09363502575423105,0.0,0.6472100797120083
44005041400,0,53151692.0,3508,6.599978040209896e-05,0.02394526795895097,114713.27953044754,0.02936145952109464,0.0,0.5755053507728894
44005041601,0,2715583.0,3266,0.001202688336169434,0.10134721371708512,63445.64885496183,0.09987631416202845,0.0,0.2284060552092609
44005041602,0,8112856.0,4030,0.0004967424541986201,0.024317617866004962,76872.73249138921,0.04922923918448533,353075.8226037196,0.35518590998043054
44005041701,0,17545443.0,3539,0.00020170479594046158,0.03532071206555524,72972.55172413793,0.04944899689177734,356516.82905225863,0.4239043824701195
44005041702,0,46853205.0,4839,0.00010328002107860071,0.011572638974994833,86730.54287163877,0.0595806518580029,462324.12790697673,0.4514549121290694
44005990000,0,0.0,0,,,,,,
44007000101,0,2441151.0,5052,0.0020695155686805116,0.6262866191607285,55720.46204620462,0.09761217528207819,262203.7037037037,0.2763445561871447
44007000102,1,2381486.0,4854,0.002038223193417891,0.796044499381953,54806.43402399128,0.211578079934075,0.0,0.323666978484565
44007000200,0,1100042.0,5874,0.005339796116875538,0.9278175008512087,38868.45771144279,0.29809329247531496,237564.41223832528,0.22366863905325443
44007000300,0,1108899.0,7377,0.006652544550946479,0.8808458723058153,36738.86877828054,0.21354592532025074,265005.2192066806,0.20940484937545922
44007000400,0,645648.0,4367,0.006763747428939608,0.935195786581177,35884.024713150924,0.4804777216352779,246080.1393728223,0.12981243830207306
44007000500,0,584838.0,2976,0.0050885886348014326,0.967741935483871,34371.50537634409,0.46117327907765343,163907.76699029127,0.14605171208944795
44007000600,0,2120975.0,1994,0.000940133664941831,0.7502507522567703,47939.2694063927,0.3302139037433155,0.0,0.1562189054726368
44007000700,0,593372.0,2370,0.0039941217313927855,0.879746835443038,19098.748796920114,0.6261603375527426,0.0,0.1656534954407295
44007000800,0,1270513.0,3619,0.002848455702539053,0.34982039237358387,47042.010309278354,0.4190054160512063,0.0,0.3897783251231527
44007000900,0,450605.0,2598,0.005765581828874513,0.4973056197074673,34227.371541501976,0.4310764734534827,0.0,0.32603596559812353
44007001000,0,455797.0,2309,0.005065851683973348,0.7115634473798181,29587.065972222223,0.33477695972282373,250825.4716981132,0.24554455445544554
44007001100,0,495118.0,2370,0.004786737706970864,0.3919831223628692,78901.36452241715,0.19198312236286919,335660.8280254777,0.4571235651586766
44007001200,0,557011.0,2598,0.004664180779194666,0.8429561200923787,35913.314176245214,0.4884526558891455,267584.03361344535,0.242284963887065
44007001300,0,586866.0,4287,0.007304904356360736,0.7203172381618848,53713.176144244106,0.2624413145539906,280966.2921348315,0.3643724696356275
44007001400,0,904707.0,7124,0.007874372586925932,0.93542953396968,37490.452261306535,0.33017265779790544,252450.61728395062,0.08094713656387666
44007001500,0,1423998.0,3033,0.0021299187217959574,0.6993076162215628,65239.86420950534,0.10286844708209693,206691.79229480738,0.22338665195808052
44007001600,0,1218295.0,8044,0.006602670125051814,0.8815266036797613,44480.424628450106,0.266875,211816.8168168168,0.1586021505376344
44007001700,0,639227.0,4005,0.0062653799041655,0.6938826466916355,44428.9184952978,0.22504400301734975,228150.91210613598,0.1642156862745098
44007001800,0,1828588.0,7008,0.0038324652682835063,0.8224885844748858,45170.285188592454,0.29891148668003437,0.0,0.2035069075451647
44007001900,0,1090559.0,5054,0.00463432056404101,0.9050257222002375,40670.04072134962,0.26612584091808467,0.0,0.15857142857142856
44007002000,0,1452727.0,6214,0.004277472642829658,0.5823945928548439,42954.6494281452,0.2860105580693816,234982.06599713056,0.22537456168313674
44007002101,0,465409.0,2704,0.005809943512050691,0.7440828402366864,52432.23223223223,0.14903846153846154,0.0,0.3270065075921909
44007002102,0,829876.0,5064,0.006102116460772453,0.6498815165876777,64485.866351271434,0.19727488151658767,0.0,0.21335453100158983
44007002200,0,813499.0,4967,0.00610572354729385,0.7900140930138917,38145.8785942492,0.3432323232323232,0.0,0.1398834304746045
44007002300,0,1182269.0,5629,0.004761183791505994,0.2988097352993427,61587.679235262876,0.2781940441882805,272927.63157894736,0.36544093719492354
44007002400,0,3061546.0,8234,0.0026894908650727445,0.20937575904785038,70971.28011336797,0.06325075075075075,0.0,0.44123060741519854
44007002500,0,1196922.0,2919,0.0024387554076205466,0.5865022267899965,67332.64683447749,0.25042822884549504,0.0,0.4305343511450382
44007002600,0,665622.0,3159,0.004745936883095811,0.7961380183602406,31581.570247933883,0.38959795788130186,201522.17741935485,0.15389257694628847
