tract ID,within 3km,land area,population,population density,white,percent people of color,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races,race population,Hispanic or Latino,Hispanic or Latino population,aggregate income,income population,mean household income,poverty under 1,poverty population,percent below poverty,housing value,housing population,mean owner-occupied housing value,school population,with a degree,percent with a degree
51009010502,0,4362265.0,1086,248.95323874180042,887,0.1832412523020258,172,21,0,0,0,6,1086,0,1086,3505200,206,17015.533980582524,95,396,0.2398989898989899,3520000,112,31428.571428571428,947,31,0.03273495248152059
51009010503,0,15313470.0,2464,160.90409293256198,1979,0.19683441558441558,332,19,7,0,112,8,2464,127,2464,24342500,1078,22581.16883116883,356,2464,0.1444805194805195,47655000,693,68766.23376623377,1748,222,0.12700228832951946
51009010504,0,10948185.0,3703,338.2295786927239,2819,0.23872535781798543,841,30,0,0,0,0,3703,13,3703,53941600,1484,36348.78706199461,187,3690,0.05067750677506775,95602500,1081,88438.94542090657,2458,427,0.17371847030105778
51009010600,0,66844562.0,2819,42.17246572727936,1694,0.39907768712309327,1008,17,23,0,5,64,2819,35,2819,33081100,1038,31870.03853564547,291,2798,0.10400285918513223,51137500,891,57393.37822671156,1855,141,0.07601078167115903
51011040100,0,161067913.0,5805,36.04069793839074,4579,0.2111972437553833,1099,27,19,0,19,54,5805,27,5805,84362100,2303,36631.3938341294,749,5700,0.13140350877192983,128212500,1751,73222.44431753283,4066,663,0.16305951795376292
51011040200,0,322165202.0,3762,11.677238809919638,2659,0.2931951089845827,1081,7,7,0,0,8,3762,0,3762,49677400,1454,34166.02475928473,436,3754,0.1161427810335642,58345000,1268,46013.40694006309,2607,325,0.12466436517069429
51011040300,0,380513727.0,4138,10.874771936939872,3138,0.2416626389560174,939,11,31,0,1,7,4138,12,4138,58131900,1574,36932.59212198221,362,4124,0.0877788554801164,50877500,1292,39378.86996904025,2748,398,0.14483260553129548
51013100100,0,2175942.0,4232,1944.904781469359,3693,0.12736294896030245,101,17,147,0,21,45,4232,247,4232,147613900,1674,88180.34647550777,130,4201,0.030945013092120922,407982500,1431,285103.0747728861,3060,2290,0.7483660130718954
51013100200,0,3183150.0,5448,1711.512181329815,4990,0.08406754772393539,74,24,114,0,76,113,5448,110,5448,217448100,2146,101327.16682199441,86,5448,0.0157856093979442,692612500,1937,357569.6954052659,3948,3179,0.8052178318135765
51013100300,0,4519931.0,6122,1354.4454550301764,5514,0.09931394968964391,127,0,163,25,0,178,6122,145,6122,280794000,2100,133711.42857142858,57,5526,0.01031487513572204,964012500,1966,490342.0651068159,4000,3313,0.82825
51013100400,0,3834557.0,3264,851.2065409381057,2955,0.09466911764705882,78,7,52,0,18,52,3264,102,3264,156238600,1254,124592.18500797448,46,3262,0.014101778050275904,511237500,1157,441864.7363872083,2400,1960,0.8166666666666667
51013100500,0,2042733.0,3788,1854.3784234160803,3372,0.10982048574445617,99,9,120,4,55,19,3788,165,3788,166079900,1508,110132.55968169762,62,3788,0.016367476240760296,409912500,1188,345044.1919191919,2760,2278,0.8253623188405798
51013100600,1,1019294.0,2953,2897.1032891393456,2247,0.239078902810701,155,10,236,0,34,111,2953,259,2953,93125200,1172,79458.36177474403,126,2724,0.046255506607929514,178222500,654,272511.46788990824,2294,1598,0.6965998256320837
51013100700,0,1549578.0,5310,3426.739409052013,3619,0.3184557438794727,256,0,334,0,419,237,5310,932,5310,179903500,2282,78835.88957055214,400,5235,0.07640878701050621,338132500,1315,257134.98098859316,3958,2613,0.6601819100555836
51013100800,0,439571.0,1455,3310.0454761574356,392,0.7305841924398625,660,0,128,4,95,78,1455,255,1455,26754800,484,55278.51239669421,39,1455,0.026804123711340205,71137500,369,192784.55284552847,1038,254,0.24470134874759153
51013100900,0,1647150.0,3969,2409.616610509061,2981,0.2489292013101537,203,18,201,0,244,96,3969,495,3969,133100200,1701,78248.20693709582,100,3969,0.025195263290501386,324550000,980,331173.4693877551,2899,1880,0.6484994825802001
51013101000,0,1076640.0,2872,2667.5583296180707,2336,0.18662952646239556,31,0,173,38,102,80,2872,190,2872,108777100,1227,88652.89323553382,121,2868,0.04218967921896792,216782500,833,260243.09723889557,2120,1423,0.6712264150943397
51013101100,0,2144844.0,4574,2132.5560273847423,3938,0.1390467861827722,83,28,277,0,25,54,4574,209,4574,178725300,1838,97239.00979325354,127,4571,0.027783854736381536,353337500,1460,242011.98630136985,3436,2566,0.7467986030267754
51013101200,0,1632727.0,3584,2195.1005893820584,2476,0.3091517857142857,94,19,457,0,110,128,3584,457,3584,94217200,1437,65565.2052887961,233,3523,0.06613681521430599,247890000,918,270032.6797385621,2633,1601,0.6080516521078617
51013101300,0,2518103.0,5820,2311.2636774587854,4622,0.20584192439862542,162,24,363,0,235,87,5820,583,5820,208037600,2368,87853.71621621621,212,5812,0.0364762560220234,439837500,1833,239954.99181669395,4362,2932,0.6721687299403943
51013101400,1,1348901.0,8436,6253.980091941515,6401,0.2412280701754386,281,36,979,13,88,247,8436,499,8436,388775400,5073,76636.191602602,465,8262,0.05628177196804648,94062500,1560,60296.47435897436,6988,5872,0.8402976531196337
51013101500,1,1734545.0,6013,3466.6151642073282,4457,0.258772659238317,236,0,494,8,230,158,6013,717,6013,211536800,3041,69561.59158171654,360,6013,0.0598702810577083,300365000,1168,257161.81506849316,4643,3317,0.7144087874219255
51013101600,1,1633766.0,5501,3367.0672544293366,4108,0.25322668605708054,243,0,492,9,109,198,5501,505,5501,245622500,3448,71236.22389791183,432,5482,0.07880335643925575,181712500,1143,158978.5651793526,4418,3471,0.7856496152105025
51013101700,1,874758.0,9853,11263.68664247712,4959,0.4967015122297777,797,35,1343,0,902,677,9853,2249,9853,288424600,5522,52231.90872872148,1096,9304,0.117798796216681,13590000,1042,13042.226487523993,7485,5065,0.676686706746827
51013101800,1,1634605.0,9013,5513.870323411466,6213,0.31066237656718076,438,30,841,0,462,466,9013,1231,9013,361142600,5182,69691.74064067927,731,8983,0.08137593231659802,233402500,1358,171872.2385861561,7066,5514,0.7803566374186244
51013101900,1,1101062.0,2429,2206.05197527478,2103,0.1342116097159325,36,0,105,0,11,111,2429,74,2429,93607800,976,95909.63114754099,78,2421,0.0322180916976456,224997500,703,320053.3428165007,1851,1441,0.7784981091301999
