Variable,3.000000 km,total,Beyond
"PCT025070 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Female:  45 to 64 years:  9th to 12th grade, no diploma",30577,3457218,3426641
"PCT025056 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Female:  25 to 34 years:  Some college, no degree",42695,4758661,4715966
"PCT025072 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Female:  45 to 64 years:  Some college, no degree",46348,7088159,7041811
PCT025053 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Female:  25 to 34 years:  Less than 9th grade,7642,821770,814128
PCT025030 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Male:  45 to 64 years:  High school graduate (includes equivalency),57477,8008418,7950941
"PCT025031 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Male:  45 to 64 years:  Some college, no degree",40910,6382421,6341511
PCT025018 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Male:  25 to 34 years:  Graduate or professional degree,16989,1359866,1342877
PCT025019 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Male:  35 to 44 years:,168365,23042576,22874211
PCT025034 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Male:  45 to 64 years:  Graduate or professional degree,19628,3925491,3905863
PCT025035 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Male:  65 years and over:,93874,14567854,14473980
PCT025036 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Male:  65 years and over:  Less than 9th grade,18155,2539127,2520972
"PCT025037 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Male:  65 years and over:  9th to 12th grade, no diploma",21452,2421240,2399788
PCT025012 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Male:  25 to 34 years:  Less than 9th grade,9947,1106030,1096083
"PCT025013 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Male:  25 to 34 years:  9th to 12th grade, no diploma",24380,2558457,2534077
PCT025010 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Male:  18 to 24 years:  Graduate or professional degree,794,62645,61851
PCT025011 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Male:  25 to 34 years:,189782,20158536,19968754
PCT025016 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Male:  25 to 34 years:  Associate degree,10286,1324930,1314644
PCT025017 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Male:  25 to 34 years:  Bachelor's degree,43577,3810155,3766578
PCT025014 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Male:  25 to 34 years:  High school graduate (includes equivalency),46173,5531395,5485222
"PCT025015 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Male:  25 to 34 years:  Some college, no degree",38430,4467703,4429273
PCT025027 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Male:  45 to 64 years:,197912,30367674,30169762
PCT025082 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Female:  65 years and over:  Bachelor's degree,7369,1527252,1519883
PCT025073 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Female:  45 to 64 years:  Associate degree,12006,2155148,2143142
"PCT025039 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Male:  65 years and over:  Some college, no degree",13169,2308455,2295286
PCT025083 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Female:  65 years and over:  Graduate or professional degree,5228,930069,924841
PCT025057 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Female:  25 to 34 years:  Associate degree,12474,1692981,1680507
PCT025025 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Male:  35 to 44 years:  Bachelor's degree,22998,3794727,3771729
PCT025043 : PCT25. Sex by Age by Educational Attainment for the Population 18 Years and Over [83] : Total:  Female:,856716,109814927,108958211
